Cliente_ID,Compra_ID,Conservas,Panadería,Congelados,Higiene,Hogar,Cross_Selling,Tarjeta_Fidelidad,Fecha
39,1,"75,24 €","56,21 €","53,06 €","52,45 €","97,62 €",FALSE,FALSE,30-09-2024
29,2,"61,17 €","92,80 €","38,87 €","65,74 €","5,50 €",TRUE,TRUE,21-01-2024
15,3,"93,92 €","29,93 €","33,81 €","79,89 €","78,40 €",FALSE,FALSE,24-10-2024
43,4,"52,96 €","4,22 €","41,19 €","68,58 €","27,76 €",TRUE,FALSE,23-04-2024
8,5,"38,76 €","92,49 €","57,04 €","14,83 €","56,24 €",TRUE,TRUE,25-03-2024
21,6,"93,06 €","80,61 €","47,38 €","35,90 €","53,49 €",FALSE,TRUE,24-02-2024
39,7,"48,81 €","97,78 €","59,51 €","58,90 €","55,98 €",FALSE,TRUE,05-10-2024
19,8,"89,97 €","80,27 €","68,18 €","76,23 €","96,98 €",FALSE,FALSE,31-12-2023
23,9,"77,78 €","72,65 €","6,04 €","65,00 €","60,52 €",FALSE,TRUE,05-05-2024
11,10,"59,09 €","82,13 €","21,43 €","51,32 €","55,51 €",TRUE,FALSE,23-10-2024
11,11,"18,33 €","22,46 €","1,29 €","84,93 €","72,39 €",FALSE,FALSE,17-12-2023
24,12,"68,17 €","59,66 €","28,96 €","58,53 €","43,69 €",TRUE,FALSE,20-09-2024
36,13,"10,16 €","13,45 €","68,86 €","75,84 €","49,60 €",TRUE,TRUE,12-07-2024
40,14,"43,04 €","84,80 €","41,58 €","1,72 €","42,25 €",FALSE,TRUE,09-06-2024
24,15,"85,64 €","36,31 €","37,93 €","64,77 €","17,63 €",TRUE,FALSE,18-03-2024
3,16,"87,25 €","32,25 €","33,53 €","94,25 €","11,30 €",TRUE,TRUE,31-05-2024
22,17,"96,35 €","72,89 €","0,53 €","98,24 €","39,71 €",TRUE,TRUE,27-05-2024
2,18,"95,17 €","88,39 €","7,89 €","23,30 €","94,31 €",TRUE,TRUE,11-09-2024
24,19,"22,86 €","72,26 €","82,45 €","49,74 €","33,21 €",FALSE,FALSE,30-11-2023
44,20,"7,52 €","76,31 €","65,39 €","21,79 €","24,65 €",FALSE,FALSE,04-04-2024
30,21,"14,74 €","67,63 €","70,03 €","95,99 €","60,16 €",FALSE,TRUE,09-08-2024
38,22,"49,50 €","65,15 €","10,27 €","89,27 €","62,07 €",FALSE,FALSE,29-08-2024
2,23,"58,38 €","91,56 €","71,94 €","6,94 €","10,60 €",TRUE,TRUE,10-08-2024
21,24,"2,38 €","9,59 €","68,27 €","71,77 €","75,15 €",TRUE,TRUE,21-03-2024
33,25,"84,33 €","38,04 €","72,50 €","88,44 €","87,43 €",FALSE,TRUE,17-11-2023
12,26,"32,95 €","56,04 €","39,43 €","14,42 €","32,89 €",FALSE,TRUE,16-11-2023
22,27,"13,75 €","77,00 €","60,36 €","16,04 €","97,38 €",FALSE,FALSE,12-07-2024
44,28,"56,03 €","93,20 €","86,46 €","0,41 €","33,95 €",TRUE,FALSE,15-01-2024
25,29,"3,85 €","4,84 €","36,32 €","56,38 €","44,49 €",FALSE,FALSE,21-04-2024
49,30,"41,54 €","22,92 €","0,81 €","64,25 €","36,36 €",FALSE,TRUE,10-05-2024
27,31,"86,27 €","54,11 €","17,41 €","76,69 €","7,22 €",FALSE,TRUE,19-02-2024
42,32,"29,52 €","86,56 €","92,63 €","40,63 €","28,49 €",TRUE,TRUE,20-02-2024
28,33,"37,61 €","33,77 €","43,82 €","36,23 €","87,90 €",TRUE,FALSE,07-06-2024
16,34,"58,36 €","25,03 €","15,58 €","78,59 €","21,35 €",TRUE,TRUE,12-04-2024
15,35,"72,31 €","8,25 €","52,89 €","63,79 €","42,73 €",TRUE,FALSE,12-09-2024
47,36,"88,13 €","45,17 €","78,90 €","3,24 €","31,49 €",TRUE,FALSE,09-03-2024
44,37,"80,83 €","87,47 €","33,01 €","87,03 €","0,93 €",TRUE,FALSE,19-07-2024
3,38,"53,52 €","51,42 €","80,11 €","55,73 €","48,22 €",TRUE,FALSE,23-12-2023
37,39,"36,47 €","11,03 €","92,35 €","60,58 €","43,78 €",TRUE,FALSE,22-10-2024
